line_no,raw_line,time_raw,time,module,level,pid,tid,client_ip,client_port,error_code,message,parse_status,record_type,parse_note
31,[Thu Jun 12 17:56:07.339594 2025] [http2:warn] [pid 1996011:tid 140669294074176] AH02951: mod_ssl does not seem to be enabled,Thu Jun 12 17:56:07.339594 2025,2025-06-12 17:56:07.339594,http2,warn,1996011,140669294074176,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
32,[Thu Jun 12 17:56:07.341515 2025] [mpm_event:notice] [pid 1996011:tid 140669294074176] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Thu Jun 12 17:56:07.341515 2025,2025-06-12 17:56:07.341515,mpm_event,notice,1996011,140669294074176,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
33,[Thu Jun 12 17:56:07.341534 2025] [core:notice] [pid 1996011:tid 140669294074176] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Thu Jun 12 17:56:07.341534 2025,2025-06-12 17:56:07.341534,core,notice,1996011,140669294074176,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
34,"[Thu Jun 12 17:57:29.258013 2025] [mpm_event:notice] [pid 1996011:tid 140669294074176] AH00492: caught SIGWINCH, shutting down gracefully",Thu Jun 12 17:57:29.258013 2025,2025-06-12 17:57:29.258013,mpm_event,notice,1996011,140669294074176,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
35,[Thu Jun 12 17:57:37.322539 2025] [suexec:notice] [pid 1996265:tid 139695085410624] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Thu Jun 12 17:57:37.322539 2025,2025-06-12 17:57:37.322539,suexec,notice,1996265,139695085410624,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
36,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
37,[Thu Jun 12 17:57:37.335006 2025] [lbmethod_heartbeat:notice] [pid 1996265:tid 139695085410624] AH02282: No slotmem from mod_heartmonitor,Thu Jun 12 17:57:37.335006 2025,2025-06-12 17:57:37.335006,lbmethod_heartbeat,notice,1996265,139695085410624,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
38,[Thu Jun 12 17:57:37.335512 2025] [http2:warn] [pid 1996265:tid 139695085410624] AH02951: mod_ssl does not seem to be enabled,Thu Jun 12 17:57:37.335512 2025,2025-06-12 17:57:37.335512,http2,warn,1996265,139695085410624,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
39,[Thu Jun 12 17:57:37.337446 2025] [mpm_event:notice] [pid 1996265:tid 139695085410624] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Thu Jun 12 17:57:37.337446 2025,2025-06-12 17:57:37.337446,mpm_event,notice,1996265,139695085410624,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
40,[Thu Jun 12 17:57:37.337464 2025] [core:notice] [pid 1996265:tid 139695085410624] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Thu Jun 12 17:57:37.337464 2025,2025-06-12 17:57:37.337464,core,notice,1996265,139695085410624,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
41,"[Thu Jun 12 17:58:36.849684 2025] [mpm_event:notice] [pid 1996265:tid 139695085410624] AH00492: caught SIGWINCH, shutting down gracefully",Thu Jun 12 17:58:36.849684 2025,2025-06-12 17:58:36.849684,mpm_event,notice,1996265,139695085410624,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
42,[Thu Jun 12 17:58:37.904591 2025] [suexec:notice] [pid 1996504:tid 140592679917888] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Thu Jun 12 17:58:37.904591 2025,2025-06-12 17:58:37.904591,suexec,notice,1996504,140592679917888,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
43,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
44,[Thu Jun 12 17:58:37.917365 2025] [lbmethod_heartbeat:notice] [pid 1996504:tid 140592679917888] AH02282: No slotmem from mod_heartmonitor,Thu Jun 12 17:58:37.917365 2025,2025-06-12 17:58:37.917365,lbmethod_heartbeat,notice,1996504,140592679917888,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
45,[Thu Jun 12 17:58:37.917836 2025] [http2:warn] [pid 1996504:tid 140592679917888] AH02951: mod_ssl does not seem to be enabled,Thu Jun 12 17:58:37.917836 2025,2025-06-12 17:58:37.917836,http2,warn,1996504,140592679917888,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
46,[Thu Jun 12 17:58:37.919747 2025] [mpm_event:notice] [pid 1996504:tid 140592679917888] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Thu Jun 12 17:58:37.919747 2025,2025-06-12 17:58:37.919747,mpm_event,notice,1996504,140592679917888,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
47,[Thu Jun 12 17:58:37.919772 2025] [core:notice] [pid 1996504:tid 140592679917888] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Thu Jun 12 17:58:37.919772 2025,2025-06-12 17:58:37.919772,core,notice,1996504,140592679917888,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
48,[Thu Jun 12 18:01:51.006418 2025] [proxy:error] [pid 1996509:tid 140592074872576] (111)Connection refused: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,Thu Jun 12 18:01:51.006418 2025,2025-06-12 18:01:51.006418,proxy,error,1996509,140592074872576,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,SUCCESS,STANDARD_HEADER,
49,"[Thu Jun 12 18:01:51.006927 2025] [proxy_http:error] [pid 1996509:tid 140592074872576] [client 210.110.64.41:32134] AH01114: HTTP: failed to make connection to backend: 210.110.104.16, referer: http://210.110.104.16/board",Thu Jun 12 18:01:51.006927 2025,2025-06-12 18:01:51.006927,proxy_http,error,1996509,140592074872576,210.110.64.41,32134,AH01114,"AH01114: HTTP: failed to make connection to backend: 210.110.104.16, referer: http://210.110.104.16/board",SUCCESS,STANDARD_HEADER,
50,[Thu Jun 12 18:01:57.639282 2025] [proxy:error] [pid 1996509:tid 140591971157760] (111)Connection refused: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,Thu Jun 12 18:01:57.639282 2025,2025-06-12 18:01:57.639282,proxy,error,1996509,140591971157760,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,SUCCESS,STANDARD_HEADER,
51,[Thu Jun 12 18:01:57.639355 2025] [proxy_http:error] [pid 1996509:tid 140591971157760] [client 210.110.64.41:31858] AH01114: HTTP: failed to make connection to backend: 210.110.104.16,Thu Jun 12 18:01:57.639355 2025,2025-06-12 18:01:57.639355,proxy_http,error,1996509,140591971157760,210.110.64.41,31858,AH01114,AH01114: HTTP: failed to make connection to backend: 210.110.104.16,SUCCESS,STANDARD_HEADER,
52,"[Mon Jun 16 14:47:18.276853 2025] [mpm_event:notice] [pid 1996504:tid 140592679917888] AH00492: caught SIGWINCH, shutting down gracefully",Mon Jun 16 14:47:18.276853 2025,2025-06-16 14:47:18.276853,mpm_event,notice,1996504,140592679917888,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
53,[Mon Jun 16 14:47:19.351148 2025] [suexec:notice] [pid 2065903:tid 140235550566720] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Mon Jun 16 14:47:19.351148 2025,2025-06-16 14:47:19.351148,suexec,notice,2065903,140235550566720,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
54,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
55,[Mon Jun 16 14:47:19.363946 2025] [lbmethod_heartbeat:notice] [pid 2065903:tid 140235550566720] AH02282: No slotmem from mod_heartmonitor,Mon Jun 16 14:47:19.363946 2025,2025-06-16 14:47:19.363946,lbmethod_heartbeat,notice,2065903,140235550566720,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
56,[Mon Jun 16 14:47:19.364477 2025] [http2:warn] [pid 2065903:tid 140235550566720] AH02951: mod_ssl does not seem to be enabled,Mon Jun 16 14:47:19.364477 2025,2025-06-16 14:47:19.364477,http2,warn,2065903,140235550566720,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
57,[Mon Jun 16 14:47:19.366472 2025] [mpm_event:notice] [pid 2065903:tid 140235550566720] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Mon Jun 16 14:47:19.366472 2025,2025-06-16 14:47:19.366472,mpm_event,notice,2065903,140235550566720,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
58,[Mon Jun 16 14:47:19.366492 2025] [core:notice] [pid 2065903:tid 140235550566720] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Mon Jun 16 14:47:19.366492 2025,2025-06-16 14:47:19.366492,core,notice,2065903,140235550566720,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
59,[Mon Jun 16 14:48:30.800331 2025] [proxy:error] [pid 2065913:tid 140234937128704] (70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,Mon Jun 16 14:48:30.800331 2025,2025-06-16 14:48:30.800331,proxy,error,2065913,140234937128704,,,AH00957,(70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,SUCCESS,STANDARD_HEADER,
60,[Mon Jun 16 14:48:30.800396 2025] [proxy_http:error] [pid 2065913:tid 140234937128704] [client 210.110.68.35:52437] AH01114: HTTP: failed to make connection to backend: 210.110.104.16,Mon Jun 16 14:48:30.800396 2025,2025-06-16 14:48:30.800396,proxy_http,error,2065913,140234937128704,210.110.68.35,52437,AH01114,AH01114: HTTP: failed to make connection to backend: 210.110.104.16,SUCCESS,STANDARD_HEADER,
61,[Mon Jun 16 14:49:30.856297 2025] [proxy:error] [pid 2065912:tid 140234953914112] (70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,Mon Jun 16 14:49:30.856297 2025,2025-06-16 14:49:30.856297,proxy,error,2065912,140234953914112,,,AH00957,(70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,SUCCESS,STANDARD_HEADER,
62,"[Mon Jun 16 14:49:30.856377 2025] [proxy_http:error] [pid 2065912:tid 140234953914112] [client 210.110.68.35:52455] AH01114: HTTP: failed to make connection to backend: 210.110.104.16, referer: http://114.70.38.81/",Mon Jun 16 14:49:30.856377 2025,2025-06-16 14:49:30.856377,proxy_http,error,2065912,140234953914112,210.110.68.35,52455,AH01114,"AH01114: HTTP: failed to make connection to backend: 210.110.104.16, referer: http://114.70.38.81/",SUCCESS,STANDARD_HEADER,
63,"[Mon Jun 16 15:32:26.454695 2025] [mpm_event:notice] [pid 2065903:tid 140235550566720] AH00492: caught SIGWINCH, shutting down gracefully",Mon Jun 16 15:32:26.454695 2025,2025-06-16 15:32:26.454695,mpm_event,notice,2065903,140235550566720,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
64,[Mon Jun 16 15:32:59.049165 2025] [proxy:error] [pid 2065913:tid 140234953914112] (70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,Mon Jun 16 15:32:59.049165 2025,2025-06-16 15:32:59.049165,proxy,error,2065913,140234953914112,,,AH00957,(70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,SUCCESS,STANDARD_HEADER,
65,[Mon Jun 16 15:32:59.049275 2025] [proxy_http:error] [pid 2065913:tid 140234953914112] [client 210.110.68.35:60498] AH01114: HTTP: failed to make connection to backend: 210.110.104.16,Mon Jun 16 15:32:59.049275 2025,2025-06-16 15:32:59.049275,proxy_http,error,2065913,140234953914112,210.110.68.35,60498,AH01114,AH01114: HTTP: failed to make connection to backend: 210.110.104.16,SUCCESS,STANDARD_HEADER,
66,[Mon Jun 16 15:33:18.474815 2025] [suexec:notice] [pid 971:tid 140566996662592] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Mon Jun 16 15:33:18.474815 2025,2025-06-16 15:33:18.474815,suexec,notice,971,140566996662592,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
67,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
68,[Mon Jun 16 15:33:18.501914 2025] [lbmethod_heartbeat:notice] [pid 971:tid 140566996662592] AH02282: No slotmem from mod_heartmonitor,Mon Jun 16 15:33:18.501914 2025,2025-06-16 15:33:18.501914,lbmethod_heartbeat,notice,971,140566996662592,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
69,[Mon Jun 16 15:33:18.504533 2025] [http2:warn] [pid 971:tid 140566996662592] AH02951: mod_ssl does not seem to be enabled,Mon Jun 16 15:33:18.504533 2025,2025-06-16 15:33:18.504533,http2,warn,971,140566996662592,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
